model,removal,wikitext_ppl,c4_ppl,flop_reduction_percent,latency_speedup,throughput_speedup,batch_size,num_modules,num_skipped
TinyLlama-1.1B,0.0,,,0.0,1.0,1.0,1,44,0
TinyLlama-1.1B,0.1,,,4.28472220644488,1.0752125497486476,1.0752125497486476,1,44,4
TinyLlama-1.1B,0.2,,,9.640624964500981,1.2025810711953284,1.2025810711953284,1,44,9
Qwen2.5-3B-Instruct,0.0,12.864708627112647,13.548308489189528,0.0,1.0,1.0,1,72,0
Qwen2.5-3B-Instruct,0.1,16.45518324098659,16.774172458480137,4.33613677813282,1.0932329084447074,1.0932329084447077,1,72,7
Qwen2.5-3B-Instruct,0.2,25.612932831813108,23.387855887200377,12.21601459856283,1.1731275123093665,1.1731275123093667,1,72,14
