model,target_saved,realized_saved,wikitext_ppl,c4_ppl,num_modules,num_skipped
Qwen/Qwen2.5-3B-Instruct,0.0,0.0,12.864708627112647,13.548308489189528,72,0
Qwen/Qwen2.5-3B-Instruct,0.05,0.05555555555555555,14.24895212452269,14.84084015654677,72,4
Qwen/Qwen2.5-3B-Instruct,0.1,0.09722222222222222,16.45518324098659,16.774172458480137,72,7
Qwen/Qwen2.5-3B-Instruct,0.15,0.1527777777777778,20.7643413074429,20.080426621496965,72,11
Qwen/Qwen2.5-3B-Instruct,0.2,0.19444444444444445,25.612932831813108,23.387855887200377,72,14
